"03/01/2020", "Tri.Lem Srl Logistica e trasporti", "Via Provinciale Sud, 157, Fossò (VE)", "Via dell'Artigianato, 13, Grantorto (PD)", "Via dell'Artigianato, 13, Grantorto (PD)", "Via Provinciale Sud, 157, Fossò (VE)", "95,2"
"03/01/2020", "Azzurra Trasporti Soc. Coop.", "Via Provinciale Sud, 157, Fossò (VE)", "Corso Stati Uniti, 18, Padova (PD)", "Corso Stati Uniti, 18, Padova (PD)", "Via Provinciale Sud, 157, Fossò (VE)", "27"
"03/01/2020", "Azzurra Trasporti Soc. Coop.", "Via Provinciale Sud, 157, Fossò (VE)", "Corso Stati Uniti, 18, Padova (PD)", "Corso Stati Uniti, 18, Padova (PD)", "Via Provinciale Sud, 157, Fossò (VE)", "27"
"03/01/2020", "Nuova Officina Piovese", "Via Provinciale Sud, 157, Fossò (VE)", "Via Leonardo Da Vinci, 20, Brugine (PD)", "Via Leonardo Da Vinci, 20, Brugine (PD)", "Via Provinciale Sud, 157, Fossò (VE)", "22,6"
"03/01/2020", "Azzurra Trasporti Soc. Coop.", "Via Provinciale Sud, 157, Fossò (VE)", "Corso Stati Uniti, 18, Padova (PD)", "Corso Stati Uniti, 18, Padova (PD)", "Via Provinciale Sud, 157, Fossò (VE)", "27"
"07/01/2020", "Tri.Lem Srl Logistica e trasporti", "Via Provinciale Sud, 157, Fossò (VE)", "Via dell'Artigianato, 13, Grantorto (PD)", "Via dell'Artigianato, 13, Grantorto (PD)", "Via Provinciale Sud, 157, Fossò (VE)", "95,2"
"07/01/2020", "Nuova Officina Piovese", "Via Provinciale Sud, 157, Fossò (VE)", "Via Leonardo Da Vinci, 20, Brugine (PD)", "Via Leonardo Da Vinci, 20, Brugine (PD)", "Via Provinciale Sud, 157, Fossò (VE)", "22,6"
"07/01/2020", "Nuova Officina Piovese", "Via Provinciale Sud, 157, Fossò (VE)", "Via Leonardo Da Vinci, 20, Brugine (PD)", "Via Leonardo Da Vinci, 20, Brugine (PD)", "Via Provinciale Sud, 157, Fossò (VE)", "22,6"
"07/01/2020", "Nuova Officina Piovese", "Via Provinciale Sud, 157, Fossò (VE)", "Via Leonardo Da Vinci, 20, Brugine (PD)", "Via Leonardo Da Vinci, 20, Brugine (PD)", "Via Provinciale Sud, 157, Fossò (VE)", "22,6"
"08/01/2020", "Tri.Lem Srl Logistica e trasporti", "Via Provinciale Sud, 157, Fossò (VE)", "Via dell'Artigianato, 13, Grantorto (PD)", "Via dell'Artigianato, 13, Grantorto (PD)", "Via Provinciale Sud, 157, Fossò (VE)", "95,2"
"08/01/2020", "Azzurra Trasporti Soc. Coop.", "Via Provinciale Sud, 157, Fossò (VE)", "Corso Stati Uniti, 18, Padova (PD)", "Corso Stati Uniti, 18, Padova (PD)", "Via Provinciale Sud, 157, Fossò (VE)", "27"
"08/01/2020", "Nuova Officina Piovese", "Via Provinciale Sud, 157, Fossò (VE)", "Via Leonardo Da Vinci, 20, Brugine (PD)", "Via Leonardo Da Vinci, 20, Brugine (PD)", "Via Provinciale Sud, 157, Fossò (VE)", "22,6"
